Lat,Lon,zipcode
42.2667,-123.6,97538
42.36,-123.56,0
33.9794,-118.453,90292
33.7333,-118.29,90731
37.8167,-122.233,94610
34.0178,-117.69,91710
34.0017,-117.821,91765
34.1308,-117.865,91740
34.1,-117.65,91786
34.0,-117.0,92320
34.1403,-117.962,91010
34.0547,-117.183,92373
34.0311,-117.317,92313
34.0567,-117.919,91790
34.0608,-117.756,91768
38.6731,-121.373,95660
38.4492,-121.827,95620
38.8872,-121.015,95614
38.4903,-121.411,95828
38.6394,-121.321,95608
37.4528,-122.183,94025
38.3539,-121.973,95687
39.4886,-121.55,95966
36.6178,-121.921,93950
36.8339,-121.402,95023
36.2128,-121.126,93930
36.6778,-121.656,93901
37.8044,-122.273,94612-2202
37.8717,-122.275,94704
37.7833,-122.417,94102
37.5964,-122.048,94587
37.2724,-122.02,95070
37.9358,-122.348,94801
37.75,-122.283,0
37.9064,-122.065,94596
37.9781,-122.031,94520
37.8217,-122.0,94526
34.5361,-117.291,92395
34.5794,-118.117,93550
42.1914,-122.701,97520
34.1356,-116.054,92277
34.1,-117.467,92336
34.1333,-116.317,92252
34.2414,-116.911,92315
33.74,-118.29,90731
37.0828,-122.09,95005
42.2744,-122.819,97535
34.2572,-118.995,93066
36.0686,-119.027,93257
36.3275,-119.646,93230
36.7081,-119.556,93657-4001
36.2067,-119.342,93274
36.3167,-119.3,93277
36.7478,-119.772,93702
33.9833,-118.217,90255
33.1219,-117.297,92009-1114
34.225,-118.237,91214
32.7714,-117.023,91942
32.6708,-117.099,91950
40.5767,-122.37,96002
37.835,-122.13,94556
33.6694,-117.823,92614
33.5694,-117.202,92562
33.8361,-117.89,92805
33.1247,-117.081,92027-2310
33.2797,-117.194,92003
33.8667,-117.567,92879
33.4378,-117.62,92674
33.5319,-117.702,92677
33.1936,-117.241,92083
33.0444,-117.272,92024
34.1533,-118.762,91301
33.8885,-117.813,92886
33.4994,-117.662,92675
34.0528,-117.628,91761
34.7514,-118.252,0
34.2281,-118.536,91324
33.9889,-118.374,90056
33.9247,-118.202,90262
34.2483,-117.189,92352
34.1647,-118.051,91024
34.103,-118.605,90290
37.2839,-121.955,95008
37.7381,-121.434,95376
37.6819,-121.768,94550
37.7739,-121.544,95391
41.7967,-123.375,0
37.4669,-122.14,94303
33.7933,-118.316,90717
34.6461,-120.46,93436
34.6119,-120.088,93460
34.11,-117.72,91711
33.7583,-118.364,90275
39.0,-117.0,0
33.88,-117.929,92832
33.9753,-117.759,91709
33.67,-117.78,92604
33.665,-117.912,92626
33.9319,-117.946,90631
33.9481,-117.396,92506
33.9431,-117.228,92557
33.4672,-117.698,92629
33.6167,-117.897,92662
33.7408,-117.881,92703
37.7692,-120.857,95361
37.6614,-120.994,95350
33.7514,-117.994,92683
33.9889,-118.089,90660
34.0006,-117.969,91745
34.1459,-118.001,91016
37.6228,-122.486,94044
35.3047,-118.437,93518
37.8869,-122.298,94710
34.0144,-118.114,90640
33.8031,-117.832,92666
37.4,-122.0,94085-3010
38.6175,-122.866,95448
38.04,-122.74,94950
38.3992,-122.827,95473
38.5461,-122.805,95492
38.2578,-122.054,94533
38.0172,-122.289,94547
33.7086,-117.956,92708
34.0819,-118.135,91803
35.4586,-119.355,93280
35.3667,-119.017,93304
34.1894,-118.875,91360
35.5942,-119.341,93280
34.0731,-118.399,90210
34.1511,-118.448,91423
34.0333,-118.167,90022
34.2711,-118.739,93064
34.1,-118.333,90028
34.1803,-118.328,91506
34.2247,-118.449,91402
34.1161,-118.15,91030
34.6833,-118.15,93534
34.0078,-118.327,90008
42.3238,-122.876,97501
34.0078,-118.401,90230
38.7297,-120.799,95667
33.8303,-116.545,92292
33.9639,-117.953,90631
33.7222,-116.374,92260
38.6658,-120.926,95682
33.02,-116.77,0
33.3717,-117.236,92028
33.8303,-116.53,92262
39.0431,-122.916,95453
33.9414,-118.302,90047
33.6753,-116.298,92253
34.0181,-118.341,90016
33.9,-118.167,907232
40.79,-124.164,95501
40.8664,-124.083,95518-4448
34.1328,-118.036,91006
37.5058,-120.849,95382
38.2458,-122.631,94954
38.1131,-122.236,94590
38.4817,-122.896,95436
38.0331,-122.267,94572
38.4486,-122.705,95404
38.0194,-122.134,94553
39.3639,-121.694,95948
39.74,-121.85,95926
39.1347,-121.626,95991
39.2614,-121.019,95959
39.2192,-121.058,95945
34.1842,-118.91,91320
36.2086,-116.012,89041
34.1233,-117.579,91739
39.1458,-121.591,905
33.9381,-118.131,90241
33.6417,-117.691,92630
34.1436,-118.395,91604
34.2385,-118.463,91343
34.1914,-119.183,93030-5236
34.275,-119.228,0
34.4258,-119.714,93101
34.2333,-119.033,93010
34.2808,-119.295,93001
34.4406,-119.814,93111
33.5314,-117.769,92651
34.4133,-119.861,93117
37.9256,-122.527,94925
32.97,-117.039,92064
32.715,-117.162,92101
32.955,-117.264,92014
32.6278,-117.048,91911
32.84,-117.277,92037
32.6583,-117.035,91902
33.8889,-118.405,90266
33.8664,-118.4,90254
33.9275,-118.277,90061
33.7683,-118.196,90802
33.9417,-118.242,90002
33.8881,-118.128,90706
33.8397,-118.26,90746
33.9575,-118.346,90301
33.9172,-118.349,90250
33.8183,-118.039,90630
34.0878,-118.372,90069
34.03,-118.779,90265
34.0219,-118.481,90404
34.1739,-118.379,91601
34.0944,-118.268,90039
34.05,-118.25,90071
34.1383,-118.661,91302
34.1561,-118.132,91101
34.1419,-118.819,91361
34.1461,-118.255,91210
34.0667,-118.083,91770
33.0239,-117.2,92067
34.0917,-117.879,91723
37.9772,-122.295,94803
39.5272,-119.822,89503
39.1608,-119.754,89701
34.4128,-117.306,92345
34.3839,-118.531,91321
34.4708,-118.635,91384
36.9719,-122.026,1982
33.6128,-117.656,92691
33.5033,-117.124,92592
37.9756,-121.301,95204
37.3333,-121.9,95110-2007
37.4347,-121.895,95035
37.2361,-121.962,95032
37.5483,-121.999,94536
37.6625,-121.882,94566
37.36,-121.97,95051-1880
37.8028,-121.221,95336
33.6928,-118.0,92648
33.8347,-118.341,90503
33.9656,-118.024,90605
33.9442,-118.195,90280
33.8581,-118.379,90278
33.8683,-118.067,90703
33.7736,-118.361,90275
33.8967,-118.225,90220
33.9069,-118.083,90650
33.9908,-118.459,90291-3879
37.4292,-122.138,94036
37.6864,-122.468,94014
38.9561,-119.769,89410
35.2742,-120.663,93401-8114
34.0519,-118.473,90049
36.1397,-120.36,93210
33.2117,-117.326,92057
36.9614,-120.061,93637
37.77,-122.2,94619
37.3688,-122.037,94086
38.5556,-121.469,95817
38.1289,-121.281,95241
38.6786,-121.773,95695
38.005,-121.806,94509
38.0281,-121.885,94565
38.5539,-121.738,95616
37.7083,-122.28,0
37.9061,-122.545,94941
37.5542,-122.313,94402
37.8858,-122.118,94549
37.4225,-122.165,94304
37.8314,-122.285,94608
37.9158,-122.312,94530
37.6811,-122.124,94578
37.7561,-122.274,94501
37.6689,-122.081,94541
37.4208,-122.26,94062
37.0583,-120.85,93635
33.9022,-118.01,90638
34.1,-117.3,92410
33.8825,-117.855,92870
33.7789,-117.96,92841
39.0,-122.0,0
37.7,-122.0,94552
37.4828,-122.236,94062
32.8344,-116.766,91901
32.7983,-116.96,92020
39.1503,-123.208,95482
39.3078,-123.799,95460
39.4097,-123.356,95490
37.3175,-122.042,95014
